"Time","Temp Avg","Temp Low","Temp High","Hum Avg","Hum Low","Hum High","Baro Avg","Baro Low","Baro High","Windspeed","Gust","Wind Direction","Interval Precip","Leaf Wetness (Minutes)","Solar Radiation Avg","Inside Temp Avg","Inside Temp Low","Inside Temp High","Heat Index","Wind Chill","Dew Point","UV Index","Station Voltage","Station Voltage 2","t1ia","t1il","t1ih","t2ia","t2il","t2ih","wetbulb","s2ia","smia","lvl1","lvl2","lvl3"
"2019-11-05 09:00:00","75.44","75.20","75.70","35","35","37","30.21","30.20","30.21","0.00000","0.0","270","0.01",,,"74.37","74.00","75.00","75.44","75.4","45.9",,"6.381",,,,,,,,"58.8",,,,,
"2019-11-05 10:00:00","75.17","75.00","75.20","35","35","36","30.19","30.19","30.20","0.00000","0.0","360","0.00",,,"74.00","74.00","74.00","75.17","75.2","45.9",,"6.380",,,,,,,,"58.7",,,,,
"2019-11-05 11:00:00","74.78","74.70","75.00","36","36","36","30.17","30.16","30.19","0.00000","0.0","360","0.00",,,"74.00","74.00","74.00","74.78","74.8","46.0",,"6.380",,,,,,,,"58.6",,,,,
"2019-11-05 12:00:00","75.05","74.90","75.20","37","36","38","30.15","30.13","30.16","0.00000","0.0","360","0.00",,,"74.00","74.00","74.00","75.05","75.1","47.0",,"6.380",,,,,,,,"59.1",,,,,
"2019-11-05 13:00:00","75.11","75.00","75.20","38","37","38","30.11","30.10","30.13","0.00000","0.0","360","0.00",,,"74.00","74.00","74.00","75.11","75.1","47.6",,"6.380",,,,,,,,"59.3",,,,,
"2019-11-05 14:00:00","75.20","75.20","75.20","39","38","39","30.09","30.07","30.10","0.00000","0.0","360","0.00",,,"74.00","74.00","74.00","75.20","75.2","48.4",,"6.380",,,,,,,,"59.7",,,,,
"2019-11-05 15:00:00","75.42","75.20","76.00","37","35","39","30.06","30.06","30.08","0.00500","2.1","360","0.03",,,"74.00","74.00","74.00","75.42","75.4","47.3",,"6.380",,,,,,,,"59.3",,,,,
"2019-11-05 16:00:00","76.24","76.00","76.50","35","35","35","30.06","30.04","30.07","0.00000","0.0","225","0.00",,,"74.00","74.00","74.00","76.24","76.2","46.6",,"6.380",,,,,,,,"59.3",,,,,
"2019-11-05 17:00:00","76.53","76.50","76.70","35","35","35","30.04","30.03","30.05","0.00000","0.0","225","0.00",,,"74.00","74.00","74.00","76.53","76.5","46.8",,"6.380",,,,,,,,"59.5",,,,,
"2019-11-05 18:00:00","76.72","76.70","76.90","35","35","35","30.02","30.00","30.03","0.00000","0.0","225","0.00",,,"73.35","73.00","74.00","76.72","76.7","47.0",,"6.380",,,,,,,,"59.6",,,,,
