Time,Temp Avg,Temp Low,Temp High,Hum Avg,Hum Low,Hum High,Baro Avg,Baro Low,Baro High,Windspeed,Gust,Wind Direction,Interval Precip,Leaf Wetness (Minutes),Solar Radiation Avg,Inside Temp Avg,Inside Temp Low,Inside Temp High,Heat Index,Wind Chill,Dew Point,UV Index,Station Voltage,Station Voltage 2,t1ia,t1il,t1ih,t2ia,t2il,t2ih,wetbulb,s2ia,smia,lvl1,lvl2,lvl3
9/2/20 12:00,75,75,75,60,60,60,29.97,29.97,29.98,0,0,157,0,,,66.51,65,69,75,75,60.2,,6.53,,,,,,,,65.7,,,,,
9/2/20 13:00,75.16,75,75.2,59,58,60,29.96,29.95,29.98,0,0,157,0,,,73.92,69,75,75.16,75.2,59.8,,6.504,,,,,,,,65.3,,,,,
9/2/20 14:00,75.41,75.2,75.5,58,58,58,29.94,29.93,29.95,0,0,135,0,,,74.98,74,75,75.41,75.4,59.6,,6.5,,,,,,,,65.3,,,,,
9/2/20 15:00,75.32,75.2,75.4,59,58,59,29.91,29.9,29.93,0,0,135,0,,,74.95,74,75,75.32,75.3,59.9,,6.5,,,,,,,,65.4,,,,,
9/2/20 16:00,75.47,75.2,75.7,59,59,59,29.89,29.88,29.9,0,0,135,0,,,74.9,74,75,75.47,75.5,60.1,,6.5,,,,,,,,65.6,,,,,
9/2/20 17:00,75.39,75.2,75.7,58,58,59,29.87,29.85,29.88,0,0,135,0,,,74.77,74,75,75.39,75.4,59.7,,6.501,,,,,,,,65.3,,,,,
9/2/20 18:00,75.52,75.2,75.7,60,59,61,29.84,29.83,29.85,0,0,135,0,,,75,75,75,75.52,75.5,60.5,,6.5,,,,,,,,65.8,,,,,
9/2/20 19:00,75.59,75.2,75.7,61,61,61,29.82,29.81,29.83,0,0,135,0,,,75,75,75,75.59,75.6,61.2,,6.5,,,,,,,,65.6,,,,,
9/2/20 20:00,75.13,75,75.4,61,61,61,29.8,29.8,29.81,0,0,135,0,,,74.43,74,75,75.13,75.1,60.7,,6.5,,,,,,,,65.8,,,,,
9/2/20 21:00,74.72,74.5,75,61,61,62,29.79,29.79,29.8,0,0,135,0,,,74,74,74,74.72,74.7,60.5,,6.5,,,,,,,,65.5,,,,,
9/2/20 22:00,74.33,74.2,74.5,62,62,62,29.78,29.76,29.79,0,0,135,0,,,74,74,74,74.33,74.3,60.4,,6.5,,,,,,,,65.4,,,,,
9/2/20 23:00,74.11,74,74.2,62,62,62,29.76,29.76,29.77,0,0,135,0,,,74,74,74,74.11,74.1,60.2,,6.497,,,,,,,,65.1,,,,,
9/3/20 0:00,73.86,73.7,74,63,62,63,29.75,29.75,29.76,0,0,135,0,,,74,74,74,73.86,73.9,60.3,,6.496,,,,,,,,65.1,,,,,
9/3/20 1:00,73.62,73.5,73.7,63,63,63,29.74,29.74,29.75,0,0,135,0,,,74,74,74,73.62,73.6,60.2,,6.498,,,,,,,,65.1,,,,,
9/3/20 2:00,73.48,73.4,73.5,64,63,64,29.73,29.72,29.74,0,0,135,0,,,73.05,73,74,73.48,73.5,60.3,,6.497,,,,,,,,65.1,,,,,
9/3/20 3:00,73.4,73.4,73.4,64,64,64,29.72,29.72,29.72,0,0,135,0,,,73,73,73,73.4,73.4,60.5,,6.498,,,,,,,,65.1,,,,,
9/3/20 4:00,73.26,73.2,73.4,64,64,65,29.73,29.72,29.74,0,0,135,0,,,73,73,73,73.26,73.3,60.5,,6.498,,,,,,,,65,,,,,
9/3/20 5:00,73.17,73,73.2,65,65,65,29.73,29.73,29.74,0,0,135,0,,,73,73,73,73.17,73.2,60.7,,6.499,,,,,,,,65.2,,,,,
9/3/20 6:00,73.03,73,73.2,65,65,65,29.74,29.74,29.75,0,0,135,0,,,73,73,73,73.03,73,60.5,,6.5,,,,,,,,65,,,,,
9/3/20 7:00,72.94,72.9,73,65,65,66,29.76,29.75,29.77,0,0,135,0,,,73.08,73,74,72.94,72.9,60.7,,6.5,,,,,,,,65,,,,,
9/3/20 8:00,73.65,73,74.2,66,66,66,29.76,29.75,29.78,0,0,135,0,,,74,74,74,73.65,73.7,61.6,,6.5,,,,,,,,65.8,,,,,
